City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bilma,NE,2022-01-17 02:09:42,18.6853,12.9164,51.78,31,0,12.3
68,Bandarbeyla,SO,2022-01-17 02:09:42,9.4942,50.8122,74.41,69,100,9.89
69,Port Hawkesbury,CA,2022-01-17 02:09:42,45.6169,-61.3485,16.59,91,4,1.01
70,Fez,MA,2022-01-17 02:09:43,34.0372,-4.9998,46.65,65,0,8.05
71,Yellowknife,CA,2022-01-17 02:06:13,62.456,-114.3525,-12.59,86,100,10.0
72,Baiyin,CN,2022-01-17 02:09:43,36.5583,104.2081,27.46,38,0,2.48
73,Kruisfontein,ZA,2022-01-17 02:09:43,-34.0033,24.7314,67.89,91,56,5.32
74,Hilo,US,2022-01-17 02:05:08,19.7297,-155.09,78.24,81,100,9.22
75,Tezu,IN,2022-01-17 02:09:44,27.9167,96.1667,61.83,35,0,1.57
76,Bambous Virieux,MU,2022-01-17 02:09:44,-20.3428,57.7575,78.22,84,92,4.83
77,Kaseda,JP,2022-01-17 02:09:44,31.4167,130.3167,43.84,63,100,18.95
78,Tuatapere,NZ,2022-01-17 02:09:44,-46.1333,167.6833,76.51,49,26,2.77
79,Kavieng,PG,2022-01-17 02:09:45,-2.5744,150.7967,82.85,74,96,1.14
80,Puerto Ayora,EC,2022-01-17 02:06:24,-0.7393,-90.3518,72.19,89,95,6.85
81,Ponta Delgada,PT,2022-01-17 02:09:45,37.7333,-25.6667,56.5,82,40,21.85
82,Hobart,AU,2022-01-17 02:09:45,-42.8794,147.3294,81.05,42,40,1.99
83,Sibiti,CG,2022-01-17 02:09:46,-3.6819,13.3499,67.75,99,100,3.02
84,Marhaura,IN,2022-01-17 02:09:46,25.9667,84.8667,44.53,72,3,6.89
85,Clyde River,CA,2022-01-17 02:09:46,70.4692,-68.5914,-21.14,89,45,5.73
86,Victoria,HK,2022-01-17 02:06:20,22.2855,114.1577,68.38,80,75,1.99
87,Bowen,AU,2022-01-17 02:09:47,-20.0167,148.2333,85.86,66,95,11.63
